"","Gene","log2FoldChange","padj"
"183","F1613_RS03910_C",1.70197550104666,1.31315080123954e-06
"184","F1613_RS09700_C",1.69939811930752,2.48979825822175e-05
"185","thrB_C",1.68818820519911,2.57443439034565e-08
"186","betA_C",1.68082438640799,0.00873443946148258
"187","arsA_C",1.6786909198858,7.1692813112483e-05
"188","F1613_RS03915_C",1.67788500657866,4.39247344235532e-06
"189","F1613_RS07840_C",1.67583416810803,0.00111814927064173
"190","gpmI_C",1.67419489862733,0.000434422771956096
"191","thiF_C",1.67041054262366,1.94402347220537e-05
"192","F1613_RS12120_C",1.65556849458378,0.000599627393017531
"193","F1613_RS01120_C",1.65541116081026,0.000389338952637453
"194","yut_C",1.64097219710184,0.00122777716678084
"195","thiO_C",1.62829554754131,0.000260069893847753
"196","F1613_RS05215_C",1.62549939614622,0.0120323413638166
"197","thiS_C",1.62479903818368,0.00210462610639959
"198","F1613_RS02615_C",1.61969828992244,9.06978641653906e-05
"199","arsD_C",1.61823026306782,0.000359844370932909
"200","rarD_C",1.61233612003689,0.00210316494580454
"201","ilvD_C",1.61200615155733,4.54907295143815e-06
"202","yidD_C",1.61171864108046,0.000189610754226616
"203","F1613_RS09795_C",1.61029179449784,0.00210462610639959
"204","F1613_RS11430_C",1.60821635788761,0.0200634680771307
"205","tpiA_C",1.60759964329906,0.00017399722953639
"206","F1613_RS03130_C",1.60699334980314,0.0015229777860356
"207","F1613_RS03465_C",1.59533903697219,0.00579108560468161
"208","nagB_C",1.59415179700104,1.53412206496824e-05
"209","F1613_RS12320_C",1.586220163155,0.00399263366389351
"210","F1613_RS06170_C",1.58128591912548,4.71396715179739e-05
"211","F1613_RS05590_C",1.58117535468373,0.000364299529194666
"212","F1613_RS08710_C",1.57864771577092,0.000792413897257953
"213","adhP_C",1.57208321202888,0.00282904940593895
"214","F1613_RS12175_C",1.57041231259685,0.0166391725951583
"215","F1613_RS10835_C",1.56432906357548,0.0107030987377949
"216","F1613_RS02275_C",1.5592515527806,0.00351928106808512
"217","F1613_RS10095_C",1.5579010011247,0.00153121004685904
"218","F1613_RS02675_C",1.55009656913209,0.000119256042005611
"219","F1613_RS09680_C",1.54884464810265,0.0012880216033931
"220","F1613_RS03920_C",1.54408871072811,4.86807696684405e-05
"221","pcp_C",1.53754996334848,4.71057041011534e-05
"222","mnmA_C",1.53640147366712,0.00189004071041469
"223","F1613_RS03440_C",1.53604746197514,0.00154669384830751
"224","F1613_RS05000_C",1.51938330058959,0.00210955013883861
"225","secA2_C",1.51923000699354,3.51358905426119e-06
"226","F1613_RS00035_C",1.51921341858701,0.00043236218606149
"227","ureE_C",1.51773579544865,0.00521686521333809
"228","F1613_RS04755_C",1.51741214054123,0.000402687026658925
"229","F1613_RS06820_C",1.51679057460089,0.000247718935148545
"230","F1613_RS00665_C",1.51218995989914,3.13479563849003e-05
"231","F1613_RS10535_C",1.5097111062251,0.0163938847400484
"232","F1613_RS12555_C",1.50893491132056,0.000313310666581069
"233","F1613_RS04030_C",1.50841438841243,4.07846495218314e-05
"234","F1613_RS10330_C",1.50158107056825,0.0263349730791908
"235","F1613_RS12330_C",1.50132331596913,0.00490958607322403
"236","F1613_RS04915_C",-1.51209799527458,3.01212306291164e-09
"237","F1613_RS07215_C",-1.51292518631453,6.18600388972128e-05
"238","serS_C",-1.5149226557662,0.0011507838714006
"239","F1613_RS01730_C",-1.52436279361053,0.00595674125320972
"240","F1613_RS03040_C",-1.53422061685916,0.0387044817597801
"241","coaW_C",-1.53645955581323,8.23532671987707e-06
"242","F1613_RS00160_C",-1.54124383577801,9.0478282627097e-06
"243","rnmV_C",-1.54243041164698,0.00877486591210458
"244","mscL_C",-1.5450025886448,6.45318554948076e-08
"245","F1613_RS07070_C",-1.54734931900685,0.0246650705962932
"246","F1613_RS02165_C",-1.55894111137562,0.000351301160669277
"247","F1613_RS12655_C",-1.56105458511559,0.0290016788747578
"248","galU_C",-1.56203252718939,7.95717091395233e-05
"249","F1613_RS04520_C",-1.56599138534312,2.20630421599807e-05
"250","F1613_RS07500_C",-1.57483991292606,0.000414013674988324
"251","F1613_RS11670_C",-1.57805738809078,1.07982315677649e-06
"252","radC_C",-1.59398164361703,0.00452046544896069
"253","F1613_RS07820_C",-1.59580846652979,0.00504089566138514
"254","F1613_RS01310_C",-1.61809571739986,0.00353316180243847
"255","F1613_RS00295_C",-1.62606807110536,0.00154669384830751
"256","F1613_RS07065_C",-1.63230149286813,0.0190386454920773
"257","thrS_C",-1.64896514966352,0.00630054984577228
"258","F1613_RS02750_C",-1.65471678451688,0.0136756881509892
"259","F1613_RS09000_C",-1.6585473865533,0.00675802625121541
"260","pmtC_C",-1.6819506590992,0.00558190551614862
"261","rsmA_C",-1.69091702850454,0.000643183396751074
"262","F1613_RS12415_P",-1.71072011485271,6.67306453369368e-10
"263","rsgA_C",-1.73125448213025,3.23135718269222e-07
"264","mprF_C",-1.7447078655116,0.00370666544826027
"265","F1613_RS06565_C",-1.74778618851861,7.4269335095518e-08
"266","F1613_RS04525_C",-1.76074089993864,0.00380829466503714
"267","ileS_C",-1.76179945407883,2.14967741639484e-05
"268","F1613_RS12485_C",-1.77207444528861,6.93463889058736e-05
"269","F1613_RS02945_C",-1.77580816341268,5.50250561098468e-06
"270","F1613_RS09635_C",-1.78076496674418,1.82953845667604e-05
"271","F1613_RS04515_C",-1.78362041584502,0.000423321225784931
"272","F1613_RS05665_C",-1.79194392665352,0.00248274531525104
"273","F1613_RS11840_C",-1.79916726016363,0.00641373944065557
"274","F1613_RS10270_C",-1.80051731123116,0.00656168784298738
"275","F1613_RS00590_C",-1.80610393549025,7.80276753661114e-07
"276","F1613_RS09035_C",-1.8075016618815,0.00158207496784956
"277","F1613_RS11970_C",-1.80925850052752,5.01284206125225e-05
"278","F1613_RS09010_C",-1.81234337122514,0.00038211771957501
"279","F1613_RS10300_C",-1.8213175499584,0.026905501762593
"280","F1613_RS09005_C",-1.82480465082268,0.00347797664326677
"281","F1613_RS00015_C",-1.83421788703025,2.59924114543977e-08
"282","rpe_C",-1.83743345846879,0.00050838779758691
"283","F1613_RS04510_C",-1.85744933864056,0.0133555110061298
"284","F1613_RS03270_C",-1.88348779123558,0.000730163706589733
"285","F1613_RS07060_C",-1.88858003225396,0.00867014907384557
"286","F1613_RS05385_C",-1.8975682459604,0.000891513135285271
"287","F1613_RS07080_C",-1.93447547292867,6.3277388913455e-05
"288","rpoE_C",-1.93706976579486,8.90617609265228e-07
"289","F1613_RS05400_C",-1.93742165339817,0.00877486591210458
"290","F1613_RS09015_C",-1.94113609156162,5.14296728868798e-05
"291","F1613_RS12355_C",-1.94862436950177,0.0055577681322799
"292","F1613_RS05640_C",-1.95386994502209,2.56526775280789e-07
"293","F1613_RS02545_C",-1.9591520274189,0.00129635466759493
"294","F1613_RS11585_C",-1.9710380080099,6.07915585987883e-11
"295","F1613_RS04530_C",-1.98384677135138,0.00185113094822492
"296","F1613_RS04420_C",-1.989668827621,2.7263026124997e-05
"297","F1613_RS09160_C",-1.99473285806107,1.06494069260928e-11
"298","F1613_RS04425_C",-2.00047477917177,1.50379714472437e-05
"299","pmtB_C",-2.01085667949943,0.000648224053143135
"300","F1613_RS10505_C",-2.01277347675882,1.24827105492828e-10
"301","F1613_RS04965_C",-2.02018932226617,5.52716441822724e-05
"302","F1613_RS05380_C",-2.02126230271998,0.000498409728804968
"303","F1613_RS10455_C",-2.02318018789621,1.61497539083751e-08
"304","rplL_C",-2.02478289601283,0.00130915189075808
"305","F1613_RS05375_C",-2.0285545664669,0.000551659081962489
"306","F1613_RS02400_C",-2.03238504471649,0.000423321225784931
"307","pyrR_C",-2.03803108950177,0.00500399191312097
"308","F1613_RS03990_C",-2.06291649677516,4.1688594433827e-05
"309","F1613_RS05980_C",-2.10661780588963,0.00516369422764823
"310","pmtA_C",-2.12332996309978,0.00043236218606149
"311","F1613_RS04320_C",-2.13223183499914,0.000508045032721651
"312","F1613_RS01415_C",-2.14168349003621,2.15303448537909e-06
"313","F1613_RS01155_C",-2.14494806529431,0.000261209920830137
"314","rpsO_C",-2.15664008071719,0.000125989938135037
"315","F1613_RS01255_C",-2.16094716149068,0.00180951820234469
"316","rplT_C",-2.16695587449751,0.000426494638252478
"317","plsY_C",-2.16903199763076,1.83181835950667e-10
"318","F1613_RS09040_C",-2.17500245559752,9.69953356982293e-05
"319","F1613_RS01150_C",-2.18404864670928,0.000594598102174357
"320","F1613_RS11065_C",-2.19863840997201,0.000502952056883561
"321","F1613_RS07075_C",-2.20259119732379,0.00286719787527322
"322","F1613_RS11185_C",-2.20312680609429,0.000119256042005611
"323","F1613_RS08160_C",-2.21703259525439,4.1172656048107e-08
"324","F1613_RS05370_C",-2.21725605018926,0.000818358702373032
"325","F1613_RS07970_C",-2.23442495865268,3.39998684106465e-06
"326","rplJ_C",-2.2377394817583,0.000163696789795198
"327","rpmI_C",-2.26483471039566,8.10063908421716e-06
"328","infC_C",-2.26904017504153,2.13162398180096e-08
"329","F1613_RS05655_C",-2.27276308415441,7.57785273717256e-12
"330","F1613_RS02640_C",-2.35533931863475,0.00351928106808512
"331","F1613_RS00215_C",-2.39692856084433,2.28625506542443e-10
"332","F1613_RS00305_C",-2.46070904114482,5.64301517547022e-06
"333","F1613_RS01985_C",-2.46754743221428,1.27699173777373e-05
"334","rsp_C",-2.47282893987506,2.9633447140956e-05
"335","typA_C",-2.49274125571168,1.07982315677649e-06
"336","F1613_RS03300_C",-2.55048447830039,2.0583432232411e-09
"337","F1613_RS00745_C",-2.55477067228723,2.82970634641106e-06
"338","F1613_RS07205_C",-2.55671436579416,4.67858051480548e-08
"339","F1613_RS10130_C",-2.59571771918791,0.00250186826179011
"340","F1613_RS11735_C",-2.61826127405788,0.000161026026180436
"341","F1613_RS05645_C",-2.69360718785569,2.39247383213348e-05
"342","cspA_C",-2.70654354307548,2.20820707251813e-05
"343","F1613_RS11355_C",-2.74274393401795,2.10746861943357e-06
"344","ptsG_C",-2.77042138650564,1.43524878724045e-06
"345","F1613_RS10135_C",-2.77642977971432,0.000631750667610615
"346","F1613_RS10435_C",-2.7783019165816,5.43376162619883e-09
"347","F1613_RS10115_C",-2.80047992329438,7.1247164850494e-05
"348","rpsR_C",-2.81561990086112,9.61728107130748e-06
"349","F1613_RS00310_C",-2.8670050920143,6.45318554948076e-08
"350","F1613_RS00595_C",-2.89688622845384,7.05142739735996e-13
"351","F1613_RS01980_C",-3.00904737085387,3.86032921937084e-07
"352","rpsF_C",-3.05174595811844,2.5757726481526e-10
"353","ssb_C",-3.06301435114032,1.80581463059999e-11
"354","F1613_RS01265_C",-3.07664096706726,2.98035593093351e-05
"355","F1613_RS10440_C",-3.08484449735849,1.57161953309935e-12
"356","F1613_RS05710_C",-3.1810459553229,1.15524168986182e-08
"357","F1613_RS03295_C",-3.20113762169726,3.60425411002808e-16
"358","F1613_RS07200_C",-3.22674075700211,5.01284206125225e-05
"359","F1613_RS03280_C",-3.32630249559236,7.18674402093158e-13
"360","dltD_C",-3.34498488621587,6.11094014896991e-06
"361","F1613_RS03290_C",-3.35158528691278,2.29619871577265e-15
